brand,title,rating,rating_count,price,recent_sales,unit_price
Crest,"Crest 3D White Brilliance Vibrant Peppermint Teeth Whitening Toothpaste, 4.6 oz Pack of 3, Anticavity Fluoride Toothpaste, 100% More Surface Stain Removal, 24 Hour Active Stain Prevention",4.8,1529,$18.97,20000,$1.37
Crest,"Crest Base Pro-Health Whitening Toothpaste (4.3oz) Triple Pack, Crest Toothpaste Whitening, Teeth Whitening Toothpaste",4.8,3156,$8.97,9000,$0.70
Crest,"Crest Cavity & Tartar Protection Toothpaste, Whitening Baking Soda & Peroxide, 5.7 oz, Pack of 2",4.3,711,$6.29,6000,$0.55
Crest,"Crest Kids Advanced Fluoride Toothpaste, Bubblegum Flavor, 4.2 oz, 3 Count, Color-Changing Anticavity Toothpaste, Crest Kids Toothpaste, Kids Toothpaste with Fluoride",4.7,1528,$11.91,10000,$2.84
Crest,"Crest Pro-Health Advanced Antibacterial Protection Toothpaste, Crest Toothpaste, Crest Pro Health Toothpaste - Pack of 4, 5 Oz Tubes",4.7,9047,$14.91,10000,$0.75
Crest,"Crest Pro-Health Advanced Antibacterial Protection Toothpaste, Crest Toothpaste, Crest Pro Health Toothpaste - Pack of 4, 5 Oz Tubes",4.7,9047,$14.91,10000,$0.75
Crest,"Crest Pro-Health Advanced Antibacterial Protection Toothpaste, Crest Toothpaste, Crest Pro Health Toothpaste - Pack of 4, 5 Oz Tubes",4.7,9047,$14.91,10000,$0.75
Crest,"Crest Pro-Health Advanced Antibacterial Protection Toothpaste, Crest Toothpaste, Crest Pro Health Toothpaste - Pack of 4, 5 Oz Tubes",4.7,9047,$14.91,10000,$0.75
Crest,"Crest Pro-Health Advanced Antibacterial Protection Toothpaste, Crest Toothpaste, Crest Pro Health Toothpaste - Pack of 4, 5 Oz Tubes",4.7,9047,$14.91,10000,$0.75
Crest,Crest Pro-Health Clean Mint Toothpaste (4.3oz) Triple Pack,4.7,32238,$8.97,20000,$0.70
Crest,Crest Pro-Health Clean Mint Toothpaste (4.3oz) Triple Pack,4.7,32238,$8.97,20000,$0.70
Crest,Crest Pro-Health Clean Mint Toothpaste (4.3oz) Triple Pack,4.7,32238,$8.97,20000,$0.70
Crest,Crest Pro-Health Clean Mint Toothpaste (4.3oz) Triple Pack,4.7,32238,$8.97,20000,$0.70
Crest,Crest Pro-Health Clean Mint Toothpaste (4.3oz) Triple Pack,4.7,32238,$8.97,20000,$0.70
Crest,Crest Pro-Health Clean Mint Toothpaste (4.3oz) Twin Pack,4.8,896,$6.99,4000,$0.81
Crest,Crest Pro-Health Clean Mint Toothpaste (4.3oz) Twin Pack,4.8,896,$6.99,4000,$0.81
Crest,"Crest Pro-Health Gum Detoxify Deep Clean Toothpaste 2.6 oz - Anticavity, Antibacterial Flouride Toothpaste, Clinically Proven, Gum and Enamel Protection, Plaque Control",4.6,492,$5.00,7000,$1.92
Crest,"Crest Pro-Health Gum Detoxify Deep Clean Toothpaste 2.6 oz - Anticavity, Antibacterial Flouride Toothpaste, Clinically Proven, Gum and Enamel Protection, Plaque Control",4.6,492,$5.00,7000,$1.92
Crest,"Crest Pro-Health Gum Detoxify Deep Clean Toothpaste, 4.8 oz Pack of 3 - Anticavity, Antibacterial Flouride Toothpaste, Clinically Proven, Gum and Enamel Protection, Plaque Control",4.8,2137,$18.97,20000,$1.32
Crest,"Crest Whitening Plus Scope, Complete Active Fresh + Whitening Toothpaste, 5.5oz, Toothpaste Sensitive Teeth, Pack of 4",4.7,4692,$10.99,20000,$2.75
Crest,"Crest Whitening Plus Scope, Complete Active Fresh + Whitening Toothpaste, 5.5oz, Toothpaste Sensitive Teeth, Pack of 4",4.7,4692,$10.99,20000,$2.75
Crest,"Crest Whitening Plus Scope, Complete Active Fresh + Whitening Toothpaste, 5.5oz, Toothpaste Sensitive Teeth, Pack of 4",4.7,4692,$10.99,20000,$2.75
Crest,"Crest Whitening Plus Scope, Complete Active Fresh + Whitening Toothpaste, 5.5oz, Toothpaste Sensitive Teeth, Pack of 4",4.7,4692,$10.99,20000,$2.75
Crest,"Crest Whitening Plus Scope, Complete Active Fresh + Whitening Toothpaste, 5.5oz, Toothpaste Sensitive Teeth, Pack of 4",4.7,4692,$10.99,20000,$2.75
Dr. Sheffield,"Dr. Sheffieldâ€™s Certified Natural Toothpaste (Extra-Whitening) - Great Tasting, Fluoride Free Toothpaste/Freshen Your Breath, Whiten Your Teeth, Reduce Plaque (2-Pack)",4.4,13227,$12.99,4000,$1.30
Dr. Sheffield,"Dr. Sheffieldâ€™s Certified Natural Toothpaste (Extra-Whitening) - Great Tasting, Fluoride Free Toothpaste/Freshen Your Breath, Whiten Your Teeth, Reduce Plaque (2-Pack)",4.4,13227,$12.99,4000,$1.30
Dr. Sheffield,"Dr. Sheffieldâ€™s Certified Natural Toothpaste (Extra-Whitening) - Great Tasting, Fluoride Free Toothpaste/Freshen Your Breath, Whiten Your Teeth, Reduce Plaque (2-Pack)",4.4,13227,$12.99,4000,$1.30
Hello,"Hello Antiplaque Toothpaste, Fluoride Free for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes",4.8,6730,$14.91,30000,$1.06
Hello,"Hello Antiplaque Toothpaste, Fluoride Free for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes",4.8,6730,$14.91,30000,$1.06
Hello,"Hello Antiplaque Toothpaste, Fluoride Free for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes",4.8,6730,$14.91,30000,$1.06
Hello,"Hello Antiplaque Toothpaste, Fluoride Free for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes",4.8,6730,$14.91,30000,$1.06
Lumineux,"Lumineux Teeth Whitening Toothpaste 2 Pack Peroxide Free Enamel Safe for Sensitive Whiter Teeth Certified Non-Toxic, Fluoride Free, No Alcohol, Artificial Colors, SLS Free Dentist Formulated - 3.75 Oz",4.2,6917,$13.96,40000,$1.86
Marvis,Marvis Whitening Mint Toothpaste,4.5,8937,$13.50,30000,$3.55
Marvis,Marvis Whitening Mint Toothpaste,4.5,8937,$13.50,30000,$3.55
Marvis,Marvis Whitening Mint Toothpaste,4.5,8937,$13.50,30000,$3.55
PerioSciences,PerioSciences AO ProRinse Sensitive Gums Mouthwash with Antioxidants â€“ Oral Rinse for Gum Health â€“ 10 fl oz / 300ml,4.5,406,$18.50,200,$1.85
PerioSciences,PerioSciences AO ProRinse Sensitive Gums Mouthwash with Antioxidants â€“ Oral Rinse for Gum Health â€“ 10 fl oz / 300ml,4.5,406,$18.50,200,$1.85
SEAGO,"SEAGO Kids Electric Toothbrush with 2 Mins Brushing Timer and 4 Replacement Bursh Heads,Rainbow LED Light Make Brushing Fun, Purple Color Girls Battery Powerd Toothbrush for 4-7 Years Old",4.5,2510,$16.99,1000,$16.99
SEAGO,"SEAGO Kids Electric Toothbrush with 2 Mins Brushing Timer and 4 Replacement Bursh Heads,Rainbow LED Light Make Brushing Fun, Purple Color Girls Battery Powerd Toothbrush for 4-7 Years Old",4.5,2510,$16.99,1000,$16.99
SEAGO,"SEAGO Kids Electric Toothbrush with 2 Mins Brushing Timer and 4 Replacement Bursh Heads,Rainbow LED Light Make Brushing Fun, Purple Color Girls Battery Powerd Toothbrush for 4-7 Years Old",4.5,2510,$16.99,1000,$16.99
SEAGO,"SEAGO Kids Electric Toothbrush with 2 Mins Brushing Timer and 4 Replacement Bursh Heads,Rainbow LED Light Make Brushing Fun, Purple Color Girls Battery Powerd Toothbrush for 4-7 Years Old",4.5,2510,$16.99,1000,$16.99
SEAGO,"SEAGO Kids Electric Toothbrush with 2 Mins Brushing Timer and 4 Replacement Bursh Heads,Rainbow LED Light Make Brushing Fun, Purple Color Girls Battery Powerd Toothbrush for 4-7 Years Old",4.5,2510,$16.99,1000,$16.99
Sensodyne,"Sensodyne Clinical White Toothpaste Clinically Proven Whitening for Sensitive Teeth, Stain Protector, 3.4 Oz (Pack of 3)",4.6,1704,$26.91,20000,$2.64
Sensodyne,"Sensodyne Clinical White Toothpaste Clinically Proven Whitening for Sensitive Teeth, Stain Protector, 3.4 Oz (Pack of 3)",4.6,1704,$26.91,20000,$2.64
